iter	Passed	Remaining
405	7610	11134
406	7617	11098
407	7627	11067
408	7632	11028
409	7637	10990
410	7647	10958
411	7655	10925
412	7665	10895
413	7673	10861
414	7684	10831
415	7697	10806
416	7707	10775
417	7714	10740
418	7724	10710
419	7733	10678
420	7740	10645
421	7748	10612
422	7759	10584
423	7763	10546
424	7770	10512
425	7777	10479
426	7783	10444
427	7790	10411
428	7801	10383
429	7810	10353
430	7820	10324
431	7827	10291
432	7834	10259
433	7843	10228
434	7852	10198
435	7861	10168
436	7868	10136
437	7874	10104
438	7879	10069
439	7888	10039
440	7895	10007
441	7905	9979
442	7910	9946
443	7918	9916
444	7925	9884
445	7932	9853
446	7941	9824
447	7949	9795
448	7957	9765
449	7963	9733
450	7972	9704
451	7978	9672
452	8008	9670
453	8019	9644
454	8025	9612
455	8032	9582
456	8041	9554
457	8049	9525
458	8058	9498
459	8065	9467
460	8072	9438
461	8079	9408
462	8086	9378
463	8094	9350
464	8104	9324
465	8110	9294
466	8117	9264
467	8125	9236
468	8132	9207
469	8141	9180
470	8152	9156
471	8157	9124
472	8163	9095
473	8169	9065
474	8175	9036
475	8182	9007
476	8191	8981
477	8203	8958
478	8216	8936
479	8226	8911
480	8236	8886
481	8247	8863
482	8257	8838
483	8267	8814
484	8277	8789
485	8288	8766
486	8299	8742
487	8311	8719
488	8322	8696
489	8332	8672
490	8344	8650
491	8354	8626
492	8365	8603
493	8378	8581
494	8391	8560
495	8402	8537
496	8414	8516
497	8421	8489
498	8431	8465
499	8444	8444
500	8457	8424
501	8473	8405
502	8490	8389
503	8502	8367
504	8512	8343
505	8520	8318
506	8529	8294
507	8538	8269
508	8546	8244
509	8553	8218
510	8560	8191
511	8565	8164
512	8575	8141
513	8585	8117
514	8596	8095
515	8602	8068
516	8609	8043
517	8613	8015
518	8624	7993
519	8632	7968
520	8642	7946
521	8649	7920
522	8655	7894
523	8662	7868
524	8670	7844
525	8678	7820
526	8686	7796
527	8693	7771
528	8700	7746
529	8708	7722
530	8715	7697
531	8724	7675
532	8733	7652
533	8742	7629
534	8748	7603
535	8758	7581
536	8765	7557
537	8775	7535
538	8784	7513
539	8796	7493
540	8807	7472
541	8819	7452
542	8828	7430
543	8841	7410
544	8850	7388
545	8859	7366
546	8868	7344
547	8878	7323
548	8889	7303
549	8899	7281
550	8908	7259
551	8920	7240
552	8931	7219
553	8940	7197
554	8950	7176
555	8959	7154
556	8970	7134
557	8978	7111
558	8985	7088
559	9034	7098
560	9048	7080
561	9061	7062
562	9075	7044
563	9088	7025
564	9098	7004
565	9108	6984
566	9121	6966
567	9133	6946
568	9142	6925
569	9152	6904
570	9161	6883
571	9171	6862
572	9183	6843
573	9193	6822
574	9198	6799
575	9205	6775
576	9219	6758
577	9230	6739
578	9240	6719
579	9249	6698
580	9256	6675
581	9272	6659
582	9286	6642
583	9298	6623
584	9311	6605
585	9325	6588
586	9334	6567
587	9342	6545
588	9349	6524
589	9357	6502
590	9364	6480
591	9375	6461
592	9386	6442
593	9395	6421
594	9402	6399
595	9410	6379
596	9419	6358
597	9429	6338
598	9436	6317
599	9445	6297
600	9454	6276
601	9465	6257
602	9477	6239
603	9489	6221
604	9507	6207
605	9530	6196
606	9541	6177
607	9551	6158
608	9562	6139
609	9570	6118
610	9580	6099
611	9588	6078
612	9597	6059
613	9607	6039
614	9616	6020
615	9626	6000
616	9633	5980
617	9639	5958
618	9647	5937
619	9655	5917
620	9663	5897
621	9673	5878
622	9678	5856
623	9686	5836
624	9693	5816
625	9702	5796
626	9709	5775
627	9719	5757
628	9727	5737
629	9734	5716
630	9740	5696
631	9744	5674
632	9752	5654
633	9761	5635
634	9771	5616
635	9780	5597
636	9789	5578
637	9799	5560
638	9806	5539
639	9815	5521
640	9823	5501
641	9829	5481
642	9837	5461
643	9843	5441
644	9850	5421
645	9860	5403
646	9870	5385
647	9877	5365
648	9886	5346
649	9895	5328
650	9906	5310
651	9915	5292
652	9921	5272
653	9929	5252
654	9936	5233
655	9942	5213
656	9951	5195
657	9961	5177
658	9969	5158
659	9976	5139
660	9985	5121
661	10013	5112
662	10035	5101
663	10041	5081
664	10050	5063
665	10060	5045
666	10068	5026
667	10074	5007
668	10084	4989
669	10092	4971
670	10102	4953
671	10112	4936
672	10120	4917
673	10129	4899
674	10134	4879
675	10142	4861
676	10150	4842
677	10161	4825
678	10169	4807
679	10178	4790
680	10186	4771
681	10198	4755
682	10207	4737
683	10215	4719
684	10223	4701
685	10230	4682
