iter	Logloss	Accuracy
0	0.6543456323	0.9502262443
1	0.6179370586	0.9502262443
2	0.5843683749	0.9502262443
3	0.5487755422	0.9502262443
4	0.519872821	0.9502262443
5	0.4946171346	0.9502262443
6	0.4712264413	0.9502262443
7	0.449850268	0.9502262443
8	0.4301843207	0.9502262443
9	0.4119432363	0.9502262443
10	0.3952821088	0.9502262443
11	0.379764929	0.9502262443
12	0.3657575122	0.9502262443
13	0.3510376012	0.9502262443
14	0.3392764418	0.9502262443
15	0.3274808543	0.9502262443
16	0.3148413347	0.9502262443
17	0.3058474644	0.9502262443
18	0.2975930226	0.9502262443
19	0.2898639709	0.9502262443
20	0.2828288753	0.9502262443
21	0.2756385557	0.9502262443
22	0.2671138404	0.9502262443
23	0.2612930481	0.9502262443
24	0.2561094939	0.9502262443
25	0.2515165659	0.9502262443
26	0.2448243305	0.9502262443
27	0.2408367958	0.9502262443
28	0.2369767308	0.9502262443
29	0.2332192168	0.9502262443
30	0.2301462759	0.9502262443
31	0.2273487945	0.9502262443
32	0.2243487214	0.9502262443
33	0.2219517181	0.9502262443
34	0.2196704899	0.9502262443
35	0.2174669728	0.9502262443
36	0.2154191975	0.9502262443
37	0.213531169	0.9502262443
38	0.2109078109	0.9502262443
39	0.2082297049	0.9502262443
40	0.2062980176	0.9502262443
41	0.2049836874	0.9502262443
42	0.2028989402	0.9502262443
43	0.2011958461	0.9502262443
44	0.1985477617	0.9502262443
45	0.1976365141	0.9502262443
46	0.1967871288	0.9502262443
47	0.195399001	0.9502262443
48	0.1939395093	0.9502262443
49	0.1927064361	0.9502262443
50	0.1910531563	0.9502262443
51	0.1899986256	0.9502262443
52	0.1894295683	0.9502262443
53	0.1884597714	0.9502262443
54	0.1870284237	0.9502262443
55	0.1865879116	0.9502262443
56	0.1848504181	0.9502262443
57	0.1834635007	0.9502262443
58	0.1831482216	0.9502262443
59	0.1828532958	0.9502262443
60	0.1814334794	0.9502262443
61	0.1803136828	0.9502262443
62	0.1791520431	0.9502262443
63	0.1785259423	0.9502262443
64	0.1770678848	0.9502262443
65	0.1763625662	0.9502262443
66	0.1759517013	0.9502262443
67	0.1758079479	0.9502262443
68	0.1747594512	0.9502262443
69	0.1736741347	0.9502262443
70	0.172894098	0.9502262443
71	0.1723778232	0.9502262443
72	0.1716817887	0.9502262443
73	0.1711660174	0.9502262443
74	0.1702378934	0.9502262443
75	0.1697592261	0.9502262443
76	0.1693124135	0.9502262443
77	0.1688906545	0.9502262443
78	0.1686170457	0.9502262443
79	0.1679922613	0.9502262443
80	0.1674465883	0.9502262443
81	0.1667631025	0.9502262443
82	0.1662645803	0.9502262443
83	0.1659592019	0.9502262443
84	0.1652466001	0.9502262443
85	0.1649244449	0.9502262443
86	0.1643690294	0.9502262443
87	0.1641066133	0.9502262443
88	0.1635987348	0.9507918552
89	0.1629779589	0.9507918552
90	0.162169302	0.9507918552
91	0.1619226084	0.9507918552
92	0.161441568	0.9507918552
93	0.1609859089	0.9507918552
94	0.1603753416	0.9507918552
95	0.1599946125	0.9507918552
96	0.1595656425	0.9507918552
97	0.1590397973	0.9507918552
98	0.1585479613	0.9507918552
99	0.158199869	0.9507918552
100	0.1579486559	0.9507918552
101	0.1573536946	0.9507918552
102	0.1567275132	0.9507918552
103	0.1560866478	0.9507918552
104	0.1559296265	0.9507918552
105	0.1554727266	0.9507918552
106	0.1552848905	0.9507918552
107	0.1552665094	0.9507918552
108	0.155116928	0.9507918552
109	0.154751271	0.9507918552
110	0.154630236	0.9507918552
111	0.1538406154	0.9507918552
112	0.1537428282	0.9507918552
113	0.1532542629	0.9507918552
114	0.1529214433	0.9507918552
115	0.1529026038	0.9507918552
116	0.1525511937	0.9519230769
117	0.1521224008	0.9513574661
118	0.1513600749	0.9519230769
119	0.1507342593	0.9513574661
120	0.1502890116	0.9519230769
121	0.1502751735	0.9519230769
122	0.1497431567	0.9519230769
123	0.1493926594	0.9519230769
124	0.1492658203	0.9519230769
125	0.1492527749	0.9519230769
126	0.1490240928	0.9519230769
127	0.1489729293	0.9519230769
128	0.1488314384	0.9524886878
129	0.1488122122	0.9524886878
130	0.1484456247	0.9524886878
131	0.1481867992	0.9524886878
132	0.148083551	0.9524886878
133	0.1472763501	0.9524886878
134	0.146930218	0.9524886878
135	0.1467554413	0.9524886878
136	0.1465272536	0.9530542986
137	0.1463569863	0.9530542986
138	0.145778467	0.9524886878
139	0.1457153789	0.9524886878
140	0.1455228072	0.9530542986
141	0.1452735066	0.9530542986
142	0.144928154	0.9530542986
143	0.1448560985	0.9530542986
144	0.1447545956	0.9530542986
145	0.1445862248	0.9530542986
146	0.1443688843	0.9530542986
147	0.144262611	0.9530542986
148	0.1440457481	0.9530542986
149	0.1438040035	0.9530542986
150	0.1435094283	0.9530542986
151	0.1433156959	0.9530542986
152	0.1429850631	0.9530542986
153	0.1428813028	0.9530542986
154	0.1426421152	0.9530542986
155	0.1426316108	0.9536199095
156	0.1425544192	0.9536199095
157	0.1421078402	0.9536199095
158	0.1418927993	0.9536199095
159	0.1418457417	0.9536199095
160	0.1418027056	0.9536199095
161	0.1415131374	0.9536199095
162	0.1414219586	0.9536199095
163	0.1409607569	0.9536199095
164	0.1405929625	0.9536199095
165	0.1400734085	0.9536199095
166	0.1400625175	0.9536199095
167	0.1399798652	0.9536199095
168	0.1397425768	0.9536199095
169	0.1395568245	0.9536199095
170	0.1394308058	0.9536199095
171	0.1392293526	0.9536199095
172	0.1391660028	0.9536199095
173	0.1389142575	0.9536199095
174	0.1387204977	0.9536199095
175	0.1380099962	0.9541855204
176	0.1378260545	0.9541855204
177	0.1377828196	0.9541855204
178	0.1376265551	0.9541855204
179	0.1372355819	0.9541855204
180	0.1368224422	0.9541855204
181	0.136637809	0.9541855204
182	0.1363923557	0.9547511312
183	0.1361212296	0.9547511312
184	0.1359134471	0.9547511312
185	0.1351509107	0.9553167421
186	0.1348564761	0.9553167421
187	0.134607904	0.9553167421
188	0.1344864385	0.9553167421
189	0.1343093885	0.9553167421
190	0.1341417245	0.9553167421
