iter	Passed	Remaining
0	4	4259
1	16	8363
2	29	9705
3	36	9005
4	46	9163
5	49	8146
6	51	7326
7	55	6841
8	57	6287
9	61	6104
10	67	6094
11	76	6304
12	79	6068
13	88	6266
14	93	6129
15	101	6234
16	106	6175
17	110	6029
18	119	6156
19	123	6070
20	128	5992
21	136	6046
22	140	5972
23	146	5964
24	152	5936
25	153	5747
26	162	5862
27	169	5890
28	176	5922
29	187	6055
30	189	5918
31	190	5763
32	195	5740
33	198	5646
34	204	5649
35	208	5587
36	213	5561
37	220	5583
38	226	5593
39	236	5676
40	242	5676
41	246	5628
42	252	5627
43	257	5596
44	268	5699
45	270	5600
46	271	5502
47	281	5583
48	289	5619
49	297	5654
50	306	5707
51	318	5811
52	320	5728
53	326	5718
54	332	5707
55	335	5647
56	347	5743
57	364	5912
58	368	5875
59	371	5816
60	387	5957
61	401	6067
62	419	6239
63	427	6253
64	440	6332
65	456	6454
66	470	6547
67	474	6497
68	487	6574
69	501	6668
70	516	6755
71	529	6821
72	541	6870
73	557	6974
74	575	7097
75	589	7166
76	616	7395
77	681	8050
78	699	8150
79	714	8221
80	732	8305
81	750	8399
82	770	8512
83	787	8587
84	804	8662
85	818	8699
86	831	8726
87	850	8809
88	865	8862
89	880	8901
90	906	9053
91	922	9100
92	935	9119
93	946	9118
94	962	9165
95	975	9182
96	990	9219
97	1038	9554
98	1126	10253
99	1138	10248
100	1155	10282
101	1171	10310
102	1197	10431
103	1216	10478
104	1228	10475
105	1257	10603
106	1268	10589
107	1277	10549
108	1303	10659
109	1326	10730
110	1337	10711
111	1365	10830
112	1374	10787
113	1421	11045
114	1506	11592
115	1520	11586
116	1536	11594
117	1562	11680
118	1585	11738
119	1611	11818
120	1626	11818
121	1632	11752
122	1715	12229
123	1733	12246
124	1765	12358
125	1772	12292
126	1809	12438
127	1843	12559
128	1863	12582
129	1883	12604
130	1909	12663
131	1919	12625
132	1936	12626
133	1954	12632
134	1969	12617
135	1987	12627
136	2004	12625
137	2014	12583
138	2022	12530
139	2036	12507
140	2050	12492
141	2061	12457
142	2075	12440
143	2084	12389
144	2096	12363
145	2104	12311
146	2114	12270
147	2121	12215
148	2131	12175
149	2139	12122
150	2149	12083
151	2160	12055
152	2171	12022
153	2184	11999
154	2192	11954
155	2197	11889
156	2205	11843
157	2216	11812
158	2227	11783
159	2237	11748
160	2247	11714
161	2255	11667
162	2265	11631
163	2278	11615
164	2290	11591
165	2302	11565
