iter	Passed	Remaining
0	3	3640
1	8	4263
2	16	5393
3	27	6911
4	36	7205
5	38	6414
6	41	5868
7	51	6332
8	53	5884
9	56	5591
10	60	5451
11	65	5385
12	69	5280
13	71	5049
14	74	4869
15	77	4773
16	83	4856
17	95	5213
18	103	5358
19	125	6144
20	139	6500
21	151	6742
22	177	7542
23	186	7567
24	192	7510
25	201	7557
26	208	7523
27	211	7348
28	226	7588
29	231	7487
30	234	7322
31	245	7426
32	255	7489
33	258	7358
34	273	7541
35	284	7611
36	296	7725
37	298	7565
38	308	7590
39	326	7844
40	346	8101
41	373	8524
42	392	8737
43	395	8600
44	405	8599
45	414	8588
46	429	8711
47	437	8683
48	442	8596
49	453	8622
50	456	8496
51	508	9265
52	559	9999
53	579	10149
54	587	10101
55	618	10418
56	629	10417
57	639	10378
58	644	10283
59	648	10154
60	657	10122
61	672	10170
62	680	10113
63	693	10140
64	706	10168
65	722	10223
66	734	10231
67	739	10131
68	742	10022
69	754	10020
70	768	10058
71	783	10098
72	786	9983
73	797	9983
74	811	10003
75	823	10014
76	837	10038
77	847	10019
78	861	10047
79	879	10112
80	899	10203
81	922	10327
82	974	10762
83	1018	11106
84	1029	11080
85	1043	11088
86	1057	11100
87	1071	11100
88	1080	11062
89	1092	11049
90	1108	11071
91	1117	11032
92	1130	11030
93	1136	10949
94	1164	11090
95	1179	11102
96	1189	11069
97	1194	10997
98	1211	11022
99	1223	11007
100	1235	10998
101	1247	10980
102	1260	10980
103	1268	10929
104	1282	10929
105	1295	10924
106	1308	10917
107	1318	10893
108	1331	10887
109	1337	10819
110	1348	10796
111	1358	10770
112	1364	10714
113	1380	10730
114	1395	10739
115	1406	10722
116	1414	10678
117	1422	10629
118	1427	10566
119	1436	10531
120	1447	10513
121	1454	10467
122	1463	10437
123	1476	10430
124	1488	10418
125	1498	10394
126	1510	10386
127	1521	10366
128	1527	10310
129	1531	10249
130	1540	10215
131	1620	10656
132	1660	10826
133	1676	10832
134	1682	10781
135	1691	10748
136	1698	10697
137	1706	10660
138	1717	10640
139	1721	10575
140	1729	10534
141	1739	10508
142	1745	10462
143	1756	10443
144	1762	10391
145	1774	10379
146	1783	10347
147	1793	10326
148	1805	10312
149	1814	10284
150	1827	10274
151	1839	10260
152	1851	10248
153	1863	10238
154	1875	10225
155	1882	10182
156	1897	10186
157	1906	10157
158	1916	10134
159	1920	10081
160	1932	10073
161	1943	10054
162	1956	10049
163	1963	10008
164	1973	9986
165	1984	9968
166	1999	9971
167	2019	10003
168	2037	10017
169	2066	10089
170	2082	10095
171	2094	10085
172	2109	10085
173	2123	10082
174	2130	10042
175	2139	10017
176	2154	10016
177	2166	10004
178	2172	9966
179	2179	9928
180	2191	9914
181	2202	9899
182	2209	9864
183	2219	9843
184	2231	9830
185	2253	9863
186	2268	9863
187	2288	9886
188	2295	9848
189	2306	9835
190	2315	9808
191	2320	9765
192	2326	9727
193	2336	9708
194	2346	9688
195	2358	9676
196	2368	9654
197	2379	9639
198	2391	9625
199	2400	9603
200	2412	9588
201	2422	9569
202	2426	9525
203	2437	9509
204	2445	9482
205	2457	9471
206	2473	9474
207	2487	9471
208	2494	9440
209	2508	9436
210	2521	9428
211	2531	9410
212	2544	9401
213	2555	9387
214	2570	9386
215	2581	9370
216	2591	9351
217	2593	9304
218	2605	9292
219	2617	9279
220	2621	9241
221	2633	9229
222	2641	9203
223	2714	9402
224	2761	9511
225	2776	9508
226	2789	9497
227	2798	9475
228	2809	9460
229	2823	9451
230	2835	9440
231	2848	9431
232	2866	9437
233	2885	9444
234	2891	9414
235	2904	9401
236	2918	9395
237	2937	9406
238	2949	9392
239	2977	9429
240	3000	9448
241	3012	9434
242	3022	9416
243	3032	9395
244	3040	9369
245	3053	9357
246	3067	9350
247	3076	9329
248	3087	9311
249	3099	9298
250	3112	9287
251	3121	9265
252	3132	9248
253	3142	9229
254	3152	9211
255	3166	9201
256	3170	9165
257	3181	9150
258	3187	9118
259	3197	9100
260	3203	9070
261	3213	9051
262	3222	9031
263	3233	9013
264	3246	9005
265	3262	9001
266	3274	8988
267	3284	8972
268	3296	8957
269	3308	8944
270	3318	8926
271	3330	8912
272	3341	8898
273	3354	8887
274	3362	8865
275	3376	8857
276	3388	8845
277	3401	8834
278	3415	8825
279	3431	8823
280	3444	8814
281	3460	8811
282	3475	8805
283	3487	8792
284	3501	8783
285	3507	8755
286	3522	8751
287	3537	8744
288	3543	8717
289	3561	8720
290	3579	8721
291	3588	8701
292	3599	8685
293	3612	8674
294	3626	8666
295	3638	8654
296	3653	8647
297	3665	8635
298	3676	8618
299	3688	8606
300	3700	8593
301	3711	8579
302	3722	8562
303	3743	8571
304	3844	8760
305	3855	8745
306	3871	8740
307	3884	8728
