iter	Logloss	Accuracy
0	0.6543456323	0.9502262443
1	0.6183903815	0.9502262443
2	0.5854371168	0.9502262443
3	0.5546095937	0.9502262443
4	0.526535305	0.9502262443
5	0.5008342382	0.9502262443
6	0.4772026684	0.9502262443
7	0.4546976282	0.9502262443
8	0.4347558079	0.9502262443
9	0.4159479128	0.9502262443
10	0.3991239673	0.9502262443
11	0.3834762551	0.9502262443
12	0.3692615856	0.9502262443
13	0.3561961115	0.9502262443
14	0.3441786471	0.9502262443
15	0.3331303371	0.9502262443
16	0.3226281213	0.9502262443
17	0.3126429369	0.9502262443
18	0.3023505909	0.9502262443
19	0.2943930528	0.9502262443
20	0.2866111565	0.9502262443
21	0.2797743371	0.9502262443
22	0.2721561728	0.9502262443
23	0.264977677	0.9502262443
24	0.2597972853	0.9502262443
25	0.2534673498	0.9502262443
26	0.2491734223	0.9502262443
27	0.2452043041	0.9502262443
28	0.2393266753	0.9502262443
29	0.235912708	0.9502262443
30	0.2328338234	0.9502262443
31	0.2284490734	0.9502262443
32	0.225115798	0.9502262443
33	0.2227169217	0.9502262443
34	0.2184183093	0.9502262443
35	0.2155211123	0.9502262443
36	0.212347671	0.9502262443
37	0.2106623768	0.9502262443
38	0.2086957364	0.9502262443
39	0.2059062095	0.9502262443
40	0.2032879422	0.9502262443
41	0.2012772997	0.9502262443
42	0.1987273119	0.9502262443
43	0.1977279535	0.9502262443
44	0.1967380061	0.9502262443
45	0.1950334371	0.9502262443
46	0.1932189108	0.9502262443
47	0.1913915366	0.9502262443
48	0.1907206847	0.9502262443
49	0.1892861875	0.9502262443
50	0.1887247243	0.9502262443
51	0.1874154667	0.9502262443
52	0.1869346391	0.9502262443
53	0.1858425545	0.9502262443
54	0.1847079218	0.9502262443
55	0.1835429614	0.9502262443
56	0.1824266573	0.9502262443
57	0.1813336124	0.9502262443
58	0.1808834426	0.9502262443
59	0.1806162851	0.9502262443
60	0.1797250783	0.9502262443
61	0.1789108161	0.9502262443
62	0.1784349279	0.9502262443
63	0.1776240876	0.9502262443
64	0.1768541296	0.9502262443
65	0.1760496261	0.9502262443
66	0.1756027244	0.9502262443
67	0.1751655264	0.9502262443
68	0.1747183556	0.9502262443
69	0.1739146762	0.9502262443
70	0.1731579885	0.9502262443
71	0.1724579798	0.9502262443
72	0.1723684843	0.9502262443
73	0.1712189746	0.9502262443
74	0.1701702771	0.9502262443
75	0.1694788416	0.9502262443
76	0.1686345561	0.9502262443
77	0.1681590771	0.9502262443
78	0.1677482603	0.9502262443
79	0.1669550486	0.9502262443
80	0.166232011	0.9502262443
81	0.165872058	0.9502262443
82	0.1650198769	0.9502262443
83	0.1643610272	0.9502262443
84	0.164150647	0.9502262443
85	0.163796801	0.9502262443
86	0.1632506588	0.9502262443
87	0.1626776481	0.9502262443
88	0.1623142202	0.9502262443
89	0.161936797	0.9502262443
90	0.1614678725	0.9502262443
91	0.1614049704	0.9502262443
92	0.1609066991	0.9502262443
93	0.1608641973	0.9502262443
94	0.1604948356	0.9502262443
95	0.1598331953	0.9502262443
96	0.1592381324	0.9502262443
97	0.1592010809	0.9502262443
98	0.1589393903	0.9502262443
99	0.1586738111	0.9502262443
100	0.1580456361	0.9502262443
101	0.1575904478	0.9502262443
102	0.1571180343	0.9502262443
103	0.15708758	0.9502262443
104	0.1568342212	0.9502262443
105	0.1563674707	0.9502262443
106	0.1558137227	0.9502262443
107	0.1554905462	0.9502262443
108	0.155084153	0.9502262443
109	0.1550570472	0.9502262443
110	0.154952447	0.9502262443
111	0.1545030349	0.9502262443
112	0.1544555468	0.9502262443
113	0.1538456004	0.9502262443
114	0.1533712095	0.9502262443
115	0.15309433	0.9502262443
116	0.1530678923	0.9502262443
